transaction_id,merchant,description,amount,currency,transaction_date,reference_id
"LED-300","Amazon Marketplace","Amazon Marketplace India General Ledger expense entry",2450.00,"INR","2026-08-10","REF-1001"
"LED-301","Swiggy Food Delivery","Swiggy Food Delivery General Ledger expense entry",717.50,"INR","2026-08-11","REF-1002"
"LED-302","Uber India Systems","Uber India Systems General Ledger expense entry",495.00,"INR","2026-08-12","REF-1003"
"LED-303","Microsoft Cloud Azure","Microsoft Cloud Azure General Ledger expense entry",18612.50,"INR","2026-08-13","REF-1004"
"LED-304","Google Workspace Services","Google Workspace Services General Ledger expense entry",4350.00,"INR","2026-08-14","REF-1005"
"LED-305","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd General Ledger expense entry",3386.50,"INR","2026-08-15","REF-1006"
"LED-306","Zomato Online Ordering","Zomato Online Ordering General Ledger expense entry",1115.00,"INR","2026-08-16","REF-1007"
"LED-307","Slack Technologies SaaS","Slack Technologies SaaS General Ledger expense entry",12762.50,"INR","2026-08-17","REF-1008"
"LED-308","Airtel Telecommunications","Airtel Telecommunications General Ledger expense entry",1799.00,"INR","2026-08-18","REF-1009"
"LED-309","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings General Ledger expense entry",8187.50,"INR","2026-08-19","REF-1010"
"LED-310","Atlassian Jira Confluence","Atlassian Jira Confluence General Ledger expense entry",15775.00,"INR","2026-08-20","REF-1011"
"LED-311","Reliance Jio Infocomm","Reliance Jio Infocomm General Ledger expense entry",2611.50,"INR","2026-08-21","REF-1012"
"LED-312","Tata Power Utilities","Tata Power Utilities General Ledger expense entry",6900.00,"INR","2026-08-22","REF-1013"
"LED-313","Freshworks CRM Cloud","Freshworks CRM Cloud General Ledger expense entry",9687.50,"INR","2026-08-23","REF-1014"
"LED-314","Apollo Pharmacy Medical","Apollo Pharmacy Medical General Ledger expense entry",2375.00,"INR","2026-08-24","REF-1015"
"LED-315","Amazon Marketplace","Amazon Marketplace India General Ledger expense entry",3012.50,"INR","2026-08-10","REF-1016"
"LED-316","Swiggy Food Delivery","Swiggy Food Delivery General Ledger expense entry",1280.00,"INR","2026-08-11","REF-1017"
"LED-317","Uber India Systems","Uber India Systems General Ledger expense entry",1057.50,"INR","2026-08-12","REF-1018"
"LED-318","Microsoft Cloud Azure","Microsoft Cloud Azure General Ledger expense entry",19175.00,"INR","2026-08-13","REF-1019"
"LED-319","Google Workspace Services","Google Workspace Services General Ledger expense entry",4912.50,"INR","2026-08-14","REF-1020"
"LED-320","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd General Ledger expense entry",3949.00,"INR","2026-08-15","REF-1021"
"LED-321","Zomato Online Ordering","Zomato Online Ordering General Ledger expense entry",1677.50,"INR","2026-08-16","REF-1022"
"LED-322","Slack Technologies SaaS","Slack Technologies SaaS General Ledger expense entry",13325.00,"INR","2026-08-17","REF-1023"
"LED-323","Airtel Telecommunications","Airtel Telecommunications General Ledger expense entry",1511.50,"INR","2026-08-18","REF-1024"
"LED-324","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings General Ledger expense entry",7900.00,"INR","2026-08-19","REF-1025"
"LED-325","Atlassian Jira Confluence","Atlassian Jira Confluence General Ledger expense entry",15487.50,"INR","2026-08-20","REF-1026"
"LED-326","Reliance Jio Infocomm","Reliance Jio Infocomm General Ledger expense entry",2324.00,"INR","2026-08-21","REF-1027"
"LED-327","Tata Power Utilities","Tata Power Utilities General Ledger expense entry",6612.50,"INR","2026-08-22","REF-1028"
"LED-328","Freshworks CRM Cloud","Freshworks CRM Cloud General Ledger expense entry",9400.00,"INR","2026-08-23","REF-1029"
"LED-329","Apollo Pharmacy Medical","Apollo Pharmacy Medical General Ledger expense entry",2087.50,"INR","2026-08-24","REF-1030"
"LED-330","Amazon Marketplace","Amazon Marketplace India General Ledger expense entry",2725.00,"INR","2026-08-10","REF-1031"
"LED-331","Swiggy Food Delivery","Swiggy Food Delivery General Ledger expense entry",992.50,"INR","2026-08-11","REF-1032"
"LED-332","Uber India Systems","Uber India Systems General Ledger expense entry",770.00,"INR","2026-08-12","REF-1033"
"LED-333","Microsoft Cloud Azure","Microsoft Cloud Azure General Ledger expense entry",18887.50,"INR","2026-08-13","REF-1034"
"LED-334","Google Workspace Services","Google Workspace Services General Ledger expense entry",4625.00,"INR","2026-08-14","REF-1035"
"LED-335","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd General Ledger expense entry",3661.50,"INR","2026-08-15","REF-1036"
"LED-336","Zomato Online Ordering","Zomato Online Ordering General Ledger expense entry",1390.00,"INR","2026-08-16","REF-1037"
"LED-337","Slack Technologies SaaS","Slack Technologies SaaS General Ledger expense entry",13037.50,"INR","2026-08-17","REF-1038"
"LED-338","Airtel Telecommunications","Airtel Telecommunications General Ledger expense entry",2074.00,"INR","2026-08-18","REF-1039"
"LED-339","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings General Ledger expense entry",8462.50,"INR","2026-08-19","REF-1040"
"LED-340","Atlassian Jira Confluence","Atlassian Jira Confluence General Ledger expense entry",16050.00,"INR","2026-08-20","REF-1041"
"LED-341","Reliance Jio Infocomm","Reliance Jio Infocomm General Ledger expense entry",2886.50,"INR","2026-08-21","REF-1042"
"LED-342","Tata Power Utilities","Tata Power Utilities General Ledger expense entry",7175.00,"INR","2026-08-22","REF-1043"
"LED-343","Freshworks CRM Cloud","Freshworks CRM Cloud General Ledger expense entry",9962.50,"INR","2026-08-23","REF-1044"
"LED-344","Apollo Pharmacy Medical","Apollo Pharmacy Medical General Ledger expense entry",2650.00,"INR","2026-08-24","REF-1045"
"LED-345","Amazon Marketplace","Amazon Marketplace India General Ledger expense entry",3287.50,"INR","2026-08-10","REF-1046"
"LED-346","Swiggy Food Delivery","Swiggy Food Delivery General Ledger expense entry",705.00,"INR","2026-08-11","REF-1047"
"LED-347","Uber India Systems","Uber India Systems General Ledger expense entry",482.50,"INR","2026-08-12","REF-1048"
"LED-348","Microsoft Cloud Azure","Microsoft Cloud Azure General Ledger expense entry",18600.00,"INR","2026-08-13","REF-1049"
"LED-349","Google Workspace Services","Google Workspace Services General Ledger expense entry",4337.50,"INR","2026-08-14","REF-1050"
"LED-350","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd General Ledger expense entry",3374.00,"INR","2026-08-15","REF-1051"
"LED-351","Zomato Online Ordering","Zomato Online Ordering General Ledger expense entry",1102.50,"INR","2026-08-16","REF-1052"
"LED-352","Slack Technologies SaaS","Slack Technologies SaaS General Ledger expense entry",12750.00,"INR","2026-08-17","REF-1053"
"LED-353","Airtel Telecommunications","Airtel Telecommunications General Ledger expense entry",1786.50,"INR","2026-08-18","REF-1054"
"LED-354","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings General Ledger expense entry",8175.00,"INR","2026-08-19","REF-1055"
"LED-355","Atlassian Jira Confluence","Atlassian Jira Confluence General Ledger expense entry",15762.50,"INR","2026-08-20","REF-1056"
"LED-356","Reliance Jio Infocomm","Reliance Jio Infocomm General Ledger expense entry",2599.00,"INR","2026-08-21","REF-1057"
"LED-357","Tata Power Utilities","Tata Power Utilities General Ledger expense entry",6887.50,"INR","2026-08-22","REF-1058"
"LED-358","Freshworks CRM Cloud","Freshworks CRM Cloud General Ledger expense entry",9675.00,"INR","2026-08-23","REF-1059"
"LED-359","Apollo Pharmacy Medical","Apollo Pharmacy Medical General Ledger expense entry",2362.50,"INR","2026-08-24","REF-1060"
"LED-360","Amazon Marketplace","Amazon Marketplace India General Ledger expense entry",3000.00,"INR","2026-08-10","REF-1061"
"LED-361","Swiggy Food Delivery","Swiggy Food Delivery General Ledger expense entry",1267.50,"INR","2026-08-11","REF-1062"
"LED-362","Uber India Systems","Uber India Systems General Ledger expense entry",1045.00,"INR","2026-08-12","REF-1063"
"LED-363","Microsoft Cloud Azure","Microsoft Cloud Azure General Ledger expense entry",19162.50,"INR","2026-08-13","REF-1064"
"LED-364","Google Workspace Services","Google Workspace Services General Ledger expense entry",4900.00,"INR","2026-08-14","REF-1065"
"LED-365","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd General Ledger expense entry",3936.50,"INR","2026-08-15","REF-1066"
"LED-366","Zomato Online Ordering","Zomato Online Ordering General Ledger expense entry",1665.00,"INR","2026-08-16","REF-1067"
"LED-367","Slack Technologies SaaS","Slack Technologies SaaS General Ledger expense entry",13312.50,"INR","2026-08-17","REF-1068"
"LED-368","Airtel Telecommunications","Airtel Telecommunications General Ledger expense entry",1499.00,"INR","2026-08-18","REF-1069"
"LED-369","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings General Ledger expense entry",7887.50,"INR","2026-08-19","REF-1070"
"LED-MM-300","Microsoft Cloud Azure","Microsoft Cloud Azure - Full booked invoice value",4500.00,"INR","2026-08-12","REF-MM-1071"
"LED-MM-301","Google Workspace Services","Google Workspace Services - Full booked invoice value",4740.00,"INR","2026-08-13","REF-MM-1072"
"LED-MM-302","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd - Full booked invoice value",4980.00,"INR","2026-08-14","REF-MM-1073"
"LED-MM-303","Zomato Online Ordering","Zomato Online Ordering - Full booked invoice value",5220.00,"INR","2026-08-15","REF-MM-1074"
"LED-MM-304","Slack Technologies SaaS","Slack Technologies SaaS - Full booked invoice value",5460.00,"INR","2026-08-16","REF-MM-1075"
"LED-MM-305","Airtel Telecommunications","Airtel Telecommunications - Full booked invoice value",5700.00,"INR","2026-08-17","REF-MM-1076"
"LED-MM-306","MakeMyTrip Travel Bookings","MakeMyTrip Travel Bookings - Full booked invoice value",5940.00,"INR","2026-08-18","REF-MM-1077"
"LED-MM-307","Atlassian Jira Confluence","Atlassian Jira Confluence - Full booked invoice value",6180.00,"INR","2026-08-19","REF-MM-1078"
"LED-MM-308","Reliance Jio Infocomm","Reliance Jio Infocomm - Full booked invoice value",6420.00,"INR","2026-08-20","REF-MM-1079"
"LED-MM-309","Tata Power Utilities","Tata Power Utilities - Full booked invoice value",6660.00,"INR","2026-08-21","REF-MM-1080"
"LED-MISS-300","Slack Technologies SaaS","Accrual for Slack Technologies SaaS",3200.00,"INR","2026-08-15","REF-MISS-1081"
"LED-MISS-301","Airtel Telecommunications","Accrual for Airtel Telecommunications",3650.00,"INR","2026-08-16","REF-MISS-1082"
"LED-MISS-302","MakeMyTrip Travel Bookings","Accrual for MakeMyTrip Travel Bookings",4100.00,"INR","2026-08-17","REF-MISS-1083"
"LED-MISS-303","Atlassian Jira Confluence","Accrual for Atlassian Jira Confluence",4550.00,"INR","2026-08-18","REF-MISS-1084"
"LED-MISS-304","Reliance Jio Infocomm","Accrual for Reliance Jio Infocomm",5000.00,"INR","2026-08-19","REF-MISS-1085"
"LED-MISS-305","Tata Power Utilities","Accrual for Tata Power Utilities",5450.00,"INR","2026-08-20","REF-MISS-1086"
"LED-MISS-306","Freshworks CRM Cloud","Accrual for Freshworks CRM Cloud",5900.00,"INR","2026-08-21","REF-MISS-1087"
"LED-MISS-UNSETTLED","Stripe Online Invoicing","Expected customer receipt booked",8750.00,"INR","2026-08-27","REF-MISS-9999"
"LED-DUP-300","Uber India Systems","Uber India Systems ledger expense journal",1750.00,"INR","2026-08-18","REF-DUP-1088"
"LED-DUP-301","Microsoft Cloud Azure","Microsoft Cloud Azure ledger expense journal",2050.00,"INR","2026-08-19","REF-DUP-1089"
"LED-DUP-302","Google Workspace Services","Google Workspace Services ledger expense journal",2350.00,"INR","2026-08-20","REF-DUP-1090"
"LED-DUP-303","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd ledger expense journal",2650.00,"INR","2026-08-21","REF-DUP-1091"
"LED-DUP-304","Zomato Online Ordering","Zomato Online Ordering ledger expense journal",2950.00,"INR","2026-08-22","REF-DUP-1092"
"LED-FUZZY-300","Amazon India Seller Services","Vendor booked without explicit gateway tracking tag",5400.00,"INR","2026-08-20",""
"LED-FUZZY-301","Bundl Technologies Swiggy","Vendor booked without explicit gateway tracking tag",1240.00,"INR","2026-08-21",""
"LED-FUZZY-302","Uber Technology Mobility","Vendor booked without explicit gateway tracking tag",690.00,"INR","2026-08-22",""
"LED-FUZZY-303","Microsoft Azure Cloud Services","Vendor booked without explicit gateway tracking tag",24000.00,"INR","2026-08-23",""
"LED-FUZZY-304","Zomato Online Food Order","Vendor booked without explicit gateway tracking tag",1560.00,"INR","2026-08-24",""
"LED-DATE-300","Google Workspace Services","Google Workspace Services invoice booking",2900.00,"INR","2026-08-20","REF-DATE-1093"
"LED-DATE-301","Flipkart Internet Pvt Ltd","Flipkart Internet Pvt Ltd invoice booking",3100.00,"INR","2026-08-20","REF-DATE-1094"
"LED-DATE-302","Zomato Online Ordering","Zomato Online Ordering invoice booking",3300.00,"INR","2026-08-20","REF-DATE-1095"
"LED-DATE-303","Slack Technologies SaaS","Slack Technologies SaaS invoice booking",3500.00,"INR","2026-08-20","REF-DATE-1096"
"LED-DATE-304","Airtel Telecommunications","Airtel Telecommunications invoice booking",3700.00,"INR","2026-08-20","REF-DATE-1097"
"LED-AMB-01","Office Supplies Petty Cash","Internal ledger journal entry under audit review",1450.00,"INR","2026-08-19","TXN-901"
"LED-AMB-02","Capital Asset Procurement","Internal ledger journal entry under audit review",50000.00,"INR","2026-08-25",""
"LED-AMB-03","Courier & Postage Charges","Internal ledger journal entry under audit review",350.00,"INR","2026-08-26",""
