transaction_id,merchant,description,amount,currency,transaction_date,reference_id
"PG-200","Amazon.in Marketplace","E-Commerce Gateway Payment Authorized",2450.00,"INR","2026-08-10","REF-1001"
"PG-201","Swiggy India Orders","Food & Beverage Gateway Payment Authorized",717.50,"INR","2026-08-11","REF-1002"
"PG-202","Uber B.V. Payments","Travel & Commute Gateway Payment Authorized",495.00,"INR","2026-08-12","REF-1003"
"PG-203","Microsoft Corporation","Software & SaaS Gateway Payment Authorized",18612.50,"INR","2026-08-13","REF-1004"
"PG-204","Google Asia Pacific","Software & SaaS Gateway Payment Authorized",4350.00,"INR","2026-08-14","REF-1005"
"PG-205","Flipkart Payments","E-Commerce Gateway Payment Authorized",3386.50,"INR","2026-08-15","REF-1006"
"PG-206","Zomato Limited","Food & Beverage Gateway Payment Authorized",1115.00,"INR","2026-08-16","REF-1007"
"PG-207","Salesforce Slack HQ","Software & SaaS Gateway Payment Authorized",12762.50,"INR","2026-08-17","REF-1008"
"PG-208","Airtel Direct Pay","Utilities Gateway Payment Authorized",1799.00,"INR","2026-08-18","REF-1009"
"PG-209","MakeMyTrip India","Travel & Commute Gateway Payment Authorized",8187.50,"INR","2026-08-19","REF-1010"
"PG-210","Atlassian Cloud","Software & SaaS Gateway Payment Authorized",15775.00,"INR","2026-08-20","REF-1011"
"PG-211","Jio Payment Services","Utilities Gateway Payment Authorized",2611.50,"INR","2026-08-21","REF-1012"
"PG-212","Tata Power Bills","Utilities Gateway Payment Authorized",6900.00,"INR","2026-08-22","REF-1013"
"PG-213","Freshworks Cloud CRM","Software & SaaS Gateway Payment Authorized",9687.50,"INR","2026-08-23","REF-1014"
"PG-214","Apollo Healthcare Ltd","Healthcare Gateway Payment Authorized",2375.00,"INR","2026-08-24","REF-1015"
"PG-215","Amazon.in Marketplace","E-Commerce Gateway Payment Authorized",3012.50,"INR","2026-08-10","REF-1016"
"PG-216","Swiggy India Orders","Food & Beverage Gateway Payment Authorized",1280.00,"INR","2026-08-11","REF-1017"
"PG-217","Uber B.V. Payments","Travel & Commute Gateway Payment Authorized",1057.50,"INR","2026-08-12","REF-1018"
"PG-218","Microsoft Corporation","Software & SaaS Gateway Payment Authorized",19175.00,"INR","2026-08-13","REF-1019"
"PG-219","Google Asia Pacific","Software & SaaS Gateway Payment Authorized",4912.50,"INR","2026-08-14","REF-1020"
"PG-220","Flipkart Payments","E-Commerce Gateway Payment Authorized",3949.00,"INR","2026-08-15","REF-1021"
"PG-221","Zomato Limited","Food & Beverage Gateway Payment Authorized",1677.50,"INR","2026-08-16","REF-1022"
"PG-222","Salesforce Slack HQ","Software & SaaS Gateway Payment Authorized",13325.00,"INR","2026-08-17","REF-1023"
"PG-223","Airtel Direct Pay","Utilities Gateway Payment Authorized",1511.50,"INR","2026-08-18","REF-1024"
"PG-224","MakeMyTrip India","Travel & Commute Gateway Payment Authorized",7900.00,"INR","2026-08-19","REF-1025"
"PG-225","Atlassian Cloud","Software & SaaS Gateway Payment Authorized",15487.50,"INR","2026-08-20","REF-1026"
"PG-226","Jio Payment Services","Utilities Gateway Payment Authorized",2324.00,"INR","2026-08-21","REF-1027"
"PG-227","Tata Power Bills","Utilities Gateway Payment Authorized",6612.50,"INR","2026-08-22","REF-1028"
"PG-228","Freshworks Cloud CRM","Software & SaaS Gateway Payment Authorized",9400.00,"INR","2026-08-23","REF-1029"
"PG-229","Apollo Healthcare Ltd","Healthcare Gateway Payment Authorized",2087.50,"INR","2026-08-24","REF-1030"
"PG-230","Amazon.in Marketplace","E-Commerce Gateway Payment Authorized",2725.00,"INR","2026-08-10","REF-1031"
"PG-231","Swiggy India Orders","Food & Beverage Gateway Payment Authorized",992.50,"INR","2026-08-11","REF-1032"
"PG-232","Uber B.V. Payments","Travel & Commute Gateway Payment Authorized",770.00,"INR","2026-08-12","REF-1033"
"PG-233","Microsoft Corporation","Software & SaaS Gateway Payment Authorized",18887.50,"INR","2026-08-13","REF-1034"
"PG-234","Google Asia Pacific","Software & SaaS Gateway Payment Authorized",4625.00,"INR","2026-08-14","REF-1035"
"PG-235","Flipkart Payments","E-Commerce Gateway Payment Authorized",3661.50,"INR","2026-08-15","REF-1036"
"PG-236","Zomato Limited","Food & Beverage Gateway Payment Authorized",1390.00,"INR","2026-08-16","REF-1037"
"PG-237","Salesforce Slack HQ","Software & SaaS Gateway Payment Authorized",13037.50,"INR","2026-08-17","REF-1038"
"PG-238","Airtel Direct Pay","Utilities Gateway Payment Authorized",2074.00,"INR","2026-08-18","REF-1039"
"PG-239","MakeMyTrip India","Travel & Commute Gateway Payment Authorized",8462.50,"INR","2026-08-19","REF-1040"
"PG-240","Atlassian Cloud","Software & SaaS Gateway Payment Authorized",16050.00,"INR","2026-08-20","REF-1041"
"PG-241","Jio Payment Services","Utilities Gateway Payment Authorized",2886.50,"INR","2026-08-21","REF-1042"
"PG-242","Tata Power Bills","Utilities Gateway Payment Authorized",7175.00,"INR","2026-08-22","REF-1043"
"PG-243","Freshworks Cloud CRM","Software & SaaS Gateway Payment Authorized",9962.50,"INR","2026-08-23","REF-1044"
"PG-244","Apollo Healthcare Ltd","Healthcare Gateway Payment Authorized",2650.00,"INR","2026-08-24","REF-1045"
"PG-245","Amazon.in Marketplace","E-Commerce Gateway Payment Authorized",3287.50,"INR","2026-08-10","REF-1046"
"PG-246","Swiggy India Orders","Food & Beverage Gateway Payment Authorized",705.00,"INR","2026-08-11","REF-1047"
"PG-247","Uber B.V. Payments","Travel & Commute Gateway Payment Authorized",482.50,"INR","2026-08-12","REF-1048"
"PG-248","Microsoft Corporation","Software & SaaS Gateway Payment Authorized",18600.00,"INR","2026-08-13","REF-1049"
"PG-249","Google Asia Pacific","Software & SaaS Gateway Payment Authorized",4337.50,"INR","2026-08-14","REF-1050"
"PG-250","Flipkart Payments","E-Commerce Gateway Payment Authorized",3374.00,"INR","2026-08-15","REF-1051"
"PG-251","Zomato Limited","Food & Beverage Gateway Payment Authorized",1102.50,"INR","2026-08-16","REF-1052"
"PG-252","Salesforce Slack HQ","Software & SaaS Gateway Payment Authorized",12750.00,"INR","2026-08-17","REF-1053"
"PG-253","Airtel Direct Pay","Utilities Gateway Payment Authorized",1786.50,"INR","2026-08-18","REF-1054"
"PG-254","MakeMyTrip India","Travel & Commute Gateway Payment Authorized",8175.00,"INR","2026-08-19","REF-1055"
"PG-255","Atlassian Cloud","Software & SaaS Gateway Payment Authorized",15762.50,"INR","2026-08-20","REF-1056"
"PG-256","Jio Payment Services","Utilities Gateway Payment Authorized",2599.00,"INR","2026-08-21","REF-1057"
"PG-257","Tata Power Bills","Utilities Gateway Payment Authorized",6887.50,"INR","2026-08-22","REF-1058"
