transaction_id,merchant,description,amount,currency,transaction_date,reference_id
"BANK-100","AMZN Mktp IN","E-Commerce settlement - Bank Auto Debit",2450.00,"INR","2026-08-10","REF-1001"
"BANK-101","SWIGGY BUNDL TECH","Food & Beverage settlement - Bank Auto Debit",717.50,"INR","2026-08-11","REF-1002"
"BANK-102","UBER INDIA TRVL","Travel & Commute settlement - Bank Auto Debit",495.00,"INR","2026-08-12","REF-1003"
"BANK-103","MSFT CLOUD AZURE","Software & SaaS settlement - Bank Auto Debit",18612.50,"INR","2026-08-13","REF-1004"
"BANK-104","GOOGLE CLOUD GSUITE","Software & SaaS settlement - Bank Auto Debit",4350.00,"INR","2026-08-14","REF-1005"
"BANK-105","FLIPKART INTERNET","E-Commerce settlement - Bank Auto Debit",3386.50,"INR","2026-08-15","REF-1006"
"BANK-106","ZOMATO RESTAURANTS","Food & Beverage settlement - Bank Auto Debit",1115.00,"INR","2026-08-16","REF-1007"
"BANK-107","SLACK TECH INC","Software & SaaS settlement - Bank Auto Debit",12762.50,"INR","2026-08-17","REF-1008"
"BANK-108","BHARTI AIRTEL CORP","Utilities settlement - Bank Auto Debit",1799.00,"INR","2026-08-18","REF-1009"
"BANK-109","MMT TRAVEL SERVICES","Travel & Commute settlement - Bank Auto Debit",8187.50,"INR","2026-08-19","REF-1010"
"BANK-110","ATLASSIAN PTY LTD","Software & SaaS settlement - Bank Auto Debit",15775.00,"INR","2026-08-20","REF-1011"
"BANK-111","RELIANCE JIO CORP","Utilities settlement - Bank Auto Debit",2611.50,"INR","2026-08-21","REF-1012"
"BANK-112","TATA POWER CO LTD","Utilities settlement - Bank Auto Debit",6900.00,"INR","2026-08-22","REF-1013"
"BANK-113","FRESHWORKS INC","Software & SaaS settlement - Bank Auto Debit",9687.50,"INR","2026-08-23","REF-1014"
"BANK-114","APOLLO PHARM HEALTH","Healthcare settlement - Bank Auto Debit",2375.00,"INR","2026-08-24","REF-1015"
"BANK-115","AMZN Mktp IN","E-Commerce settlement - Bank Auto Debit",3012.50,"INR","2026-08-10","REF-1016"
"BANK-116","SWIGGY BUNDL TECH","Food & Beverage settlement - Bank Auto Debit",1280.00,"INR","2026-08-11","REF-1017"
"BANK-117","UBER INDIA TRVL","Travel & Commute settlement - Bank Auto Debit",1057.50,"INR","2026-08-12","REF-1018"
"BANK-118","MSFT CLOUD AZURE","Software & SaaS settlement - Bank Auto Debit",19175.00,"INR","2026-08-13","REF-1019"
"BANK-119","GOOGLE CLOUD GSUITE","Software & SaaS settlement - Bank Auto Debit",4912.50,"INR","2026-08-14","REF-1020"
"BANK-120","FLIPKART INTERNET","E-Commerce settlement - Bank Auto Debit",3949.00,"INR","2026-08-15","REF-1021"
"BANK-121","ZOMATO RESTAURANTS","Food & Beverage settlement - Bank Auto Debit",1677.50,"INR","2026-08-16","REF-1022"
"BANK-122","SLACK TECH INC","Software & SaaS settlement - Bank Auto Debit",13325.00,"INR","2026-08-17","REF-1023"
"BANK-123","BHARTI AIRTEL CORP","Utilities settlement - Bank Auto Debit",1511.50,"INR","2026-08-18","REF-1024"
"BANK-124","MMT TRAVEL SERVICES","Travel & Commute settlement - Bank Auto Debit",7900.00,"INR","2026-08-19","REF-1025"
"BANK-125","ATLASSIAN PTY LTD","Software & SaaS settlement - Bank Auto Debit",15487.50,"INR","2026-08-20","REF-1026"
"BANK-126","RELIANCE JIO CORP","Utilities settlement - Bank Auto Debit",2324.00,"INR","2026-08-21","REF-1027"
"BANK-127","TATA POWER CO LTD","Utilities settlement - Bank Auto Debit",6612.50,"INR","2026-08-22","REF-1028"
"BANK-128","FRESHWORKS INC","Software & SaaS settlement - Bank Auto Debit",9400.00,"INR","2026-08-23","REF-1029"
"BANK-129","APOLLO PHARM HEALTH","Healthcare settlement - Bank Auto Debit",2087.50,"INR","2026-08-24","REF-1030"
"BANK-130","AMZN Mktp IN","E-Commerce settlement - Bank Auto Debit",2725.00,"INR","2026-08-10","REF-1031"
"BANK-131","SWIGGY BUNDL TECH","Food & Beverage settlement - Bank Auto Debit",992.50,"INR","2026-08-11","REF-1032"
"BANK-132","UBER INDIA TRVL","Travel & Commute settlement - Bank Auto Debit",770.00,"INR","2026-08-12","REF-1033"
"BANK-133","MSFT CLOUD AZURE","Software & SaaS settlement - Bank Auto Debit",18887.50,"INR","2026-08-13","REF-1034"
"BANK-134","GOOGLE CLOUD GSUITE","Software & SaaS settlement - Bank Auto Debit",4625.00,"INR","2026-08-14","REF-1035"
"BANK-135","FLIPKART INTERNET","E-Commerce settlement - Bank Auto Debit",3661.50,"INR","2026-08-15","REF-1036"
"BANK-136","ZOMATO RESTAURANTS","Food & Beverage settlement - Bank Auto Debit",1390.00,"INR","2026-08-16","REF-1037"
"BANK-137","SLACK TECH INC","Software & SaaS settlement - Bank Auto Debit",13037.50,"INR","2026-08-17","REF-1038"
"BANK-138","BHARTI AIRTEL CORP","Utilities settlement - Bank Auto Debit",2074.00,"INR","2026-08-18","REF-1039"
"BANK-139","MMT TRAVEL SERVICES","Travel & Commute settlement - Bank Auto Debit",8462.50,"INR","2026-08-19","REF-1040"
"BANK-140","ATLASSIAN PTY LTD","Software & SaaS settlement - Bank Auto Debit",16050.00,"INR","2026-08-20","REF-1041"
"BANK-141","RELIANCE JIO CORP","Utilities settlement - Bank Auto Debit",2886.50,"INR","2026-08-21","REF-1042"
"BANK-142","TATA POWER CO LTD","Utilities settlement - Bank Auto Debit",7175.00,"INR","2026-08-22","REF-1043"
"BANK-143","FRESHWORKS INC","Software & SaaS settlement - Bank Auto Debit",9962.50,"INR","2026-08-23","REF-1044"
"BANK-144","APOLLO PHARM HEALTH","Healthcare settlement - Bank Auto Debit",2650.00,"INR","2026-08-24","REF-1045"
"BANK-145","AMZN Mktp IN","E-Commerce settlement - Bank Auto Debit",3287.50,"INR","2026-08-10","REF-1046"
"BANK-146","SWIGGY BUNDL TECH","Food & Beverage settlement - Bank Auto Debit",705.00,"INR","2026-08-11","REF-1047"
"BANK-147","UBER INDIA TRVL","Travel & Commute settlement - Bank Auto Debit",482.50,"INR","2026-08-12","REF-1048"
"BANK-148","MSFT CLOUD AZURE","Software & SaaS settlement - Bank Auto Debit",18600.00,"INR","2026-08-13","REF-1049"
"BANK-149","GOOGLE CLOUD GSUITE","Software & SaaS settlement - Bank Auto Debit",4337.50,"INR","2026-08-14","REF-1050"
"BANK-150","FLIPKART INTERNET","E-Commerce settlement - Bank Auto Debit",3374.00,"INR","2026-08-15","REF-1051"
"BANK-151","ZOMATO RESTAURANTS","Food & Beverage settlement - Bank Auto Debit",1102.50,"INR","2026-08-16","REF-1052"
"BANK-152","SLACK TECH INC","Software & SaaS settlement - Bank Auto Debit",12750.00,"INR","2026-08-17","REF-1053"
"BANK-153","BHARTI AIRTEL CORP","Utilities settlement - Bank Auto Debit",1786.50,"INR","2026-08-18","REF-1054"
"BANK-154","MMT TRAVEL SERVICES","Travel & Commute settlement - Bank Auto Debit",8175.00,"INR","2026-08-19","REF-1055"
"BANK-155","ATLASSIAN PTY LTD","Software & SaaS settlement - Bank Auto Debit",15762.50,"INR","2026-08-20","REF-1056"
